+-----------------------------------------------------------------------+
| Index | Dimensions |  QueryType |       v |           l |           r |
|   840 |        100 |          2 |      -  |  0.65854889 |  0.80134708 |
|   841 |        100 |          3 |       0 |  0.27475548 |  0.32680622 |
|   842 |        100 |          0 |      -  |          -  |          -  |
|   843 |        100 |          2 |      -  |  0.24182011 |  0.82927144 |
|   844 |        100 |          3 |      16 |  0.08008802 |  0.55000913 |
|   845 |        100 |          0 |      -  |          -  |          -  |
|   846 |        100 |          1 |       2 |          -  |          -  |
|   847 |        100 |          2 |      -  |  0.01351944 |  0.27120066 |
|   848 |        100 |          3 |       0 |  0.25934517 |  0.93123502 |
|   849 |        100 |          0 |      -  |          -  |          -  |
|   850 |        100 |          1 |       0 |          -  |          -  |
|   851 |        100 |          2 |      -  |  0.90569270 |  0.91447937 |
|   852 |        100 |          3 |       5 |  0.02701367 |  0.35924745 |
|   853 |        100 |          0 |      -  |          -  |          -  |
|   854 |        100 |          1 |       4 |          -  |          -  |
|   855 |        100 |          2 |      -  |  0.39619145 |  0.75178725 |
|   856 |        100 |          3 |       5 |  0.25057963 |  0.58968908 |
|   857 |        100 |          0 |      -  |          -  |          -  |
|   858 |        100 |          1 |       5 |          -  |          -  |
|   859 |        100 |          2 |      -  |  0.20549028 |  0.72606039 |
|   860 |        100 |          3 |       5 |  0.28389820 |  0.55284089 |
|   861 |        100 |          0 |      -  |          -  |          -  |
|   862 |        100 |          1 |       5 |          -  |          -  |
|   863 |        100 |          2 |      -  |  0.73439735 |  0.81483626 |
|   864 |        100 |          3 |       0 |  0.02040018 |  0.86883134 |
|   865 |        100 |          0 |      -  |          -  |          -  |
|   866 |        100 |          1 |       0 |          -  |          -  |
|   867 |        100 |          2 |      -  |  0.03530928 |  0.06140828 |
|   868 |        100 |          3 |      16 |  0.54371327 |  0.73304701 |
|   869 |        100 |          0 |      -  |          -  |          -  |
|   870 |        100 |          1 |       5 |          -  |          -  |
|   871 |        100 |          2 |      -  |  0.60900515 |  0.94934696 |
|   872 |        100 |          3 |       5 |  0.19894737 |  0.72295630 |
|   873 |        100 |          0 |      -  |          -  |          -  |
|   874 |        100 |          1 |       5 |          -  |          -  |
|   875 |        100 |          2 |      -  |  0.02422729 |  0.96859753 |
|   876 |        100 |          3 |       0 |  0.52929229 |  0.56174260 |
|   877 |        100 |          0 |      -  |          -  |          -  |
|   878 |        100 |          1 |       7 |          -  |          -  |
|   879 |        100 |          2 |      -  |  0.62984806 |  0.76156729 |
|   880 |        100 |          3 |       5 |  0.33358008 |  0.83091420 |
|   881 |        100 |          0 |      -  |          -  |          -  |
|   882 |        100 |          1 |      12 |          -  |          -  |
|   883 |        100 |          2 |      -  |  0.05015989 |  0.18015870 |
|   884 |        100 |          3 |       0 |  0.66208655 |  0.77204925 |
|   885 |        100 |          0 |      -  |          -  |          -  |
|   886 |        100 |          1 |       4 |          -  |          -  |
|   887 |        100 |          2 |      -  |  0.00292252 |  0.55282176 |
|   888 |        100 |          3 |       5 |  0.38009739 |  0.95367628 |
|   889 |        100 |          0 |      -  |          -  |          -  |
|   890 |        100 |          1 |       0 |          -  |          -  |
|   891 |        100 |          2 |      -  |  0.25135815 |  0.36482322 |
|   892 |        100 |          3 |       0 |  0.08505570 |  0.95336670 |
|   893 |        100 |          0 |      -  |          -  |          -  |
|   894 |        100 |          1 |       6 |          -  |          -  |
|   895 |        100 |          2 |      -  |  0.32333711 |  0.41858634 |
|   896 |        100 |          3 |       0 |  0.05557836 |  0.62538260 |
|   897 |        100 |          0 |      -  |          -  |          -  |
|   898 |        100 |          1 |       5 |          -  |          -  |
|   899 |        100 |          2 |      -  |  0.57231528 |  0.94504184 |
|   900 |        100 |          3 |       5 |  0.69747150 |  0.77086431 |
|   901 |        100 |          0 |      -  |          -  |          -  |
|   902 |        100 |          1 |       2 |          -  |          -  |
|   903 |        100 |          2 |      -  |  0.25294244 |  0.32343897 |
|   904 |        100 |          3 |       5 |  0.06925210 |  0.29736218 |
|   905 |        100 |          0 |      -  |          -  |          -  |
|   906 |        100 |          1 |       5 |          -  |          -  |
|   907 |        100 |          2 |      -  |  0.18126701 |  0.53934765 |
|   908 |        100 |          3 |       5 |  0.44507462 |  0.87342489 |
|   909 |        100 |          0 |      -  |          -  |          -  |
|   910 |        100 |          1 |       5 |          -  |          -  |
|   911 |        100 |          2 |      -  |  0.61498028 |  0.72986329 |
|   912 |        100 |          3 |       4 |  0.36406183 |  0.43759084 |
|   913 |        100 |          0 |      -  |          -  |          -  |
|   914 |        100 |          1 |       2 |          -  |          -  |
|   915 |        100 |          2 |      -  |  0.49822259 |  0.51152927 |
|   916 |        100 |          3 |       5 |  0.23990001 |  0.48879850 |
|   917 |        100 |          0 |      -  |          -  |          -  |
|   918 |        100 |          1 |       0 |          -  |          -  |
|   919 |        100 |          2 |      -  |  0.39404041 |  0.40407360 |
|   920 |        100 |          3 |      14 |  0.76204836 |  0.77462792 |
|   921 |        100 |          0 |      -  |          -  |          -  |
|   922 |        100 |          1 |      11 |          -  |          -  |
|   923 |        100 |          2 |      -  |  0.26883277 |  0.81128651 |
|   924 |        100 |          3 |       5 |  0.86686385 |  0.86850262 |
|   925 |        100 |          0 |      -  |          -  |          -  |
|   926 |        100 |          1 |      11 |          -  |          -  |
|   927 |        100 |          2 |      -  |  0.73220795 |  0.99788624 |
|   928 |        100 |          3 |       5 |  0.64989728 |  0.79700971 |
|   929 |        100 |          0 |      -  |          -  |          -  |
|   930 |        100 |          1 |       0 |          -  |          -  |
|   931 |        100 |          2 |      -  |  0.77008075 |  0.84055310 |
|   932 |        100 |          3 |       0 |  0.33092177 |  0.64998603 |
|   933 |        100 |          0 |      -  |          -  |          -  |
|   934 |        100 |          1 |       0 |          -  |          -  |
|   935 |        100 |          2 |      -  |  0.12160640 |  0.14741597 |
|   936 |        100 |          3 |      15 |  0.32192829 |  0.58056653 |
|   937 |        100 |          0 |      -  |          -  |          -  |
|   938 |        100 |          1 |       5 |          -  |          -  |
|   939 |        100 |          2 |      -  |  0.49869555 |  0.72164130 |
|   940 |        100 |          3 |       5 |  0.52473605 |  0.76532990 |
|   941 |        100 |          0 |      -  |          -  |          -  |
|   942 |        100 |          1 |       0 |          -  |          -  |
|   943 |        100 |          2 |      -  |  0.68409824 |  0.84980470 |
|   944 |        100 |          3 |       2 |  0.57312912 |  0.90499383 |
|   945 |        100 |          0 |      -  |          -  |          -  |
|   946 |        100 |          1 |       4 |          -  |          -  |
|   947 |        100 |          2 |      -  |  0.72984111 |  0.99392807 |
|   948 |        100 |          3 |       0 |  0.17452241 |  0.21015239 |
|   949 |        100 |          0 |      -  |          -  |          -  |
|   950 |        100 |          1 |       5 |          -  |          -  |
|   951 |        100 |          2 |      -  |  0.45184946 |  0.64020395 |
|   952 |        100 |          3 |       4 |  0.02371802 |  0.20889585 |
|   953 |        100 |          0 |      -  |          -  |          -  |
|   954 |        100 |          1 |       0 |          -  |          -  |
|   955 |        100 |          2 |      -  |  0.47487870 |  0.82070857 |
|   956 |        100 |          3 |       0 |  0.54841477 |  0.84231484 |
|   957 |        100 |          0 |      -  |          -  |          -  |
|   958 |        100 |          1 |       5 |          -  |          -  |
|   959 |        100 |          2 |      -  |  0.26008135 |  0.63252151 |
|   960 |        100 |          3 |       7 |  0.31266153 |  0.97069913 |
|   961 |        100 |          0 |      -  |          -  |          -  |
|   962 |        100 |          1 |       0 |          -  |          -  |
|   963 |        100 |          2 |      -  |  0.54796600 |  0.64288747 |
|   964 |        100 |          3 |      24 |  0.15919682 |  0.77690905 |
|   965 |        100 |          0 |      -  |          -  |          -  |
|   966 |        100 |          1 |       5 |          -  |          -  |
|   967 |        100 |          2 |      -  |  0.10260798 |  0.74240959 |
|   968 |        100 |          3 |      14 |  0.20778452 |  0.90451378 |
|   969 |        100 |          0 |      -  |          -  |          -  |
|   970 |        100 |          1 |       5 |          -  |          -  |
|   971 |        100 |          2 |      -  |  0.70962346 |  0.88363761 |
|   972 |        100 |          3 |       0 |  0.03072481 |  0.17388204 |
|   973 |        100 |          0 |      -  |          -  |          -  |
|   974 |        100 |          1 |       5 |          -  |          -  |
|   975 |        100 |          2 |      -  |  0.59712142 |  0.78131706 |
|   976 |        100 |          3 |       0 |  0.00447152 |  0.77281368 |
|   977 |        100 |          0 |      -  |          -  |          -  |
|   978 |        100 |          1 |       5 |          -  |          -  |
|   979 |        100 |          2 |      -  |  0.27023354 |  0.45460561 |
|   980 |        100 |          3 |       4 |  0.59830236 |  0.88017255 |
|   981 |        100 |          0 |      -  |          -  |          -  |
|   982 |        100 |          1 |      17 |          -  |          -  |
|   983 |        100 |          2 |      -  |  0.02180295 |  0.81160015 |
|   984 |        100 |          3 |       2 |  0.50479978 |  0.66851652 |
|   985 |        100 |          0 |      -  |          -  |          -  |
|   986 |        100 |          1 |      11 |          -  |          -  |
|   987 |        100 |          2 |      -  |  0.50140125 |  0.85320628 |
|   988 |        100 |          3 |       5 |  0.25070265 |  0.72310156 |
|   989 |        100 |          0 |      -  |          -  |          -  |
|   990 |        100 |          1 |       5 |          -  |          -  |
|   991 |        100 |          2 |      -  |  0.22555463 |  0.70485848 |
|   992 |        100 |          3 |       5 |  0.12908314 |  0.39659888 |
|   993 |        100 |          0 |      -  |          -  |          -  |
|   994 |        100 |          1 |       0 |          -  |          -  |
|   995 |        100 |          2 |      -  |  0.47284967 |  0.51623172 |
|   996 |        100 |          3 |       5 |  0.15648305 |  0.58244634 |
|   997 |        100 |          0 |      -  |          -  |          -  |
|   998 |        100 |          1 |       0 |          -  |          -  |
|   999 |        100 |          2 |      -  |  0.34365764 |  0.98407334 |
|  1000 |        100 |          3 |       0 |  0.31098044 |  0.57052428 |
|  1001 |        100 |          0 |      -  |          -  |          -  |
|  1002 |        100 |          1 |       5 |          -  |          -  |
|  1003 |        100 |          2 |      -  |  0.69517016 |  0.80544448 |
|  1004 |        100 |          3 |       2 |  0.10371729 |  0.63344526 |
|  1005 |        100 |          0 |      -  |          -  |          -  |
|  1006 |        100 |          1 |       0 |          -  |          -  |
|  1007 |        100 |          2 |      -  |  0.02610404 |  0.74110156 |
|  1008 |        100 |          3 |      17 |  0.07241160 |  0.44190806 |
|  1009 |        100 |          0 |      -  |          -  |          -  |
|  1010 |        100 |          1 |       5 |          -  |          -  |
|  1011 |        100 |          2 |      -  |  0.02876537 |  0.68383205 |
|  1012 |        100 |          3 |       5 |  0.21894012 |  0.43069899 |
|  1013 |        100 |          0 |      -  |          -  |          -  |
|  1014 |        100 |          1 |       0 |          -  |          -  |
|  1015 |        100 |          2 |      -  |  0.59161824 |  0.99252021 |
|  1016 |        100 |          3 |       0 |  0.52434176 |  0.89459556 |
|  1017 |        100 |          0 |      -  |          -  |          -  |
|  1018 |        100 |          1 |       0 |          -  |          -  |
|  1019 |        100 |          2 |      -  |  0.07866205 |  0.08106018 |
|  1020 |        100 |          3 |       5 |  0.55174065 |  0.57648730 |
|  1021 |        100 |          0 |      -  |          -  |          -  |
|  1022 |        100 |          1 |       5 |          -  |          -  |
|  1023 |        100 |          2 |      -  |  0.30737317 |  0.67889059 |
|  1024 |        100 |          3 |       5 |  0.59472436 |  0.88197160 |
|  1025 |        100 |          0 |      -  |          -  |          -  |
|  1026 |        100 |          1 |       6 |          -  |          -  |
|  1027 |        100 |          2 |      -  |  0.52308422 |  0.75825757 |
|  1028 |        100 |          3 |       7 |  0.85664916 |  0.86357826 |
|  1029 |        100 |          0 |      -  |          -  |          -  |
|  1030 |        100 |          1 |       0 |          -  |          -  |
|  1031 |        100 |          2 |      -  |  0.17712727 |  0.22467726 |
|  1032 |        100 |          3 |      11 |  0.69325513 |  0.94145674 |
|  1033 |        100 |          0 |      -  |          -  |          -  |
|  1034 |        100 |          1 |       2 |          -  |          -  |
|  1035 |        100 |          2 |      -  |  0.39850184 |  0.69500476 |
|  1036 |        100 |          3 |       5 |  0.27576494 |  0.92012072 |
|  1037 |        100 |          0 |      -  |          -  |          -  |
|  1038 |        100 |          1 |       0 |          -  |          -  |
|  1039 |        100 |          2 |      -  |  0.78867984 |  0.84769803 |
|  1040 |        100 |          3 |       4 |  0.31699389 |  0.50154346 |
|  1041 |        100 |          0 |      -  |          -  |          -  |
|  1042 |        100 |          1 |       5 |          -  |          -  |
|  1043 |        100 |          2 |      -  |  0.38867033 |  0.50079012 |
|  1044 |        100 |          3 |       4 |  0.74927014 |  0.87187493 |
|  1045 |        100 |          0 |      -  |          -  |          -  |
|  1046 |        100 |          1 |       5 |          -  |          -  |
|  1047 |        100 |          2 |      -  |  0.36639342 |  0.45196140 |
|  1048 |        100 |          3 |       5 |  0.56672239 |  0.73037457 |
|  1049 |        100 |          0 |      -  |          -  |          -  |
|  1050 |        100 |          1 |      78 |          -  |          -  |
|  1051 |        100 |          2 |      -  |  0.62137800 |  0.69746846 |
|  1052 |        100 |          3 |       4 |  0.09492753 |  0.25467700 |
|  1053 |        100 |          0 |      -  |          -  |          -  |
|  1054 |        100 |          1 |       5 |          -  |          -  |
|  1055 |        100 |          2 |      -  |  0.02673937 |  0.21588953 |
|  1056 |        100 |          3 |       0 |  0.59165257 |  0.78700274 |
|  1057 |        100 |          0 |      -  |          -  |          -  |
|  1058 |        100 |          1 |       4 |          -  |          -  |
|  1059 |        100 |          2 |      -  |  0.36872295 |  0.57988483 |
|  1060 |        100 |          3 |       5 |  0.09833311 |  0.73558629 |
|  1061 |        100 |          0 |      -  |          -  |          -  |
|  1062 |        100 |          1 |       0 |          -  |          -  |
|  1063 |        100 |          2 |      -  |  0.52344120 |  0.83427840 |
|  1064 |        100 |          3 |       0 |  0.26433200 |  0.49840412 |
|  1065 |        100 |          0 |      -  |          -  |          -  |
|  1066 |        100 |          1 |      30 |          -  |          -  |
|  1067 |        100 |          2 |      -  |  0.86629808 |  0.98073030 |
|  1068 |        100 |          3 |       2 |  0.50499946 |  0.69570971 |
|  1069 |        100 |          0 |      -  |          -  |          -  |
|  1070 |        100 |          1 |       0 |          -  |          -  |
|  1071 |        100 |          2 |      -  |  0.42512017 |  0.52263141 |
|  1072 |        100 |          3 |       5 |  0.23479618 |  0.80382591 |
|  1073 |        100 |          0 |      -  |          -  |          -  |
|  1074 |        100 |          1 |       5 |          -  |          -  |
|  1075 |        100 |          2 |      -  |  0.38691559 |  0.49778289 |
|  1076 |        100 |          3 |       5 |  0.27863300 |  0.56328452 |
|  1077 |        100 |          0 |      -  |          -  |          -  |
|  1078 |        100 |          1 |       4 |          -  |          -  |
|  1079 |        100 |          2 |      -  |  0.06306013 |  0.75971776 |
|  1080 |        100 |          3 |      11 |  0.04224851 |  0.66596812 |
|  1081 |        100 |          0 |      -  |          -  |          -  |
|  1082 |        100 |          1 |       5 |          -  |          -  |
|  1083 |        100 |          2 |      -  |  0.03616244 |  0.74774939 |
|  1084 |        100 |          3 |       5 |  0.29485413 |  0.45570886 |
|  1085 |        100 |          0 |      -  |          -  |          -  |
|  1086 |        100 |          1 |       2 |          -  |          -  |
|  1087 |        100 |          2 |      -  |  0.37099299 |  0.63706261 |
|  1088 |        100 |          3 |       5 |  0.03055337 |  0.63804686 |
|  1089 |        100 |          0 |      -  |          -  |          -  |
|  1090 |        100 |          1 |       5 |          -  |          -  |
|  1091 |        100 |          2 |      -  |  0.24028927 |  0.64620733 |
|  1092 |        100 |          3 |      14 |  0.19117817 |  0.21062435 |
|  1093 |        100 |          0 |      -  |          -  |          -  |
|  1094 |        100 |          1 |       5 |          -  |          -  |
|  1095 |        100 |          2 |      -  |  0.26847377 |  0.45450577 |
|  1096 |        100 |          3 |       5 |  0.47780728 |  0.52498919 |
|  1097 |        100 |          0 |      -  |          -  |          -  |
|  1098 |        100 |          1 |       5 |          -  |          -  |
|  1099 |        100 |          2 |      -  |  0.19944151 |  0.73458892 |
|  1100 |        100 |          3 |       2 |  0.46519646 |  0.47492409 |
|  1101 |        100 |          0 |      -  |          -  |          -  |
|  1102 |        100 |          1 |      11 |          -  |          -  |
|  1103 |        100 |          2 |      -  |  0.10032785 |  0.51984298 |
|  1104 |        100 |          3 |       5 |  0.06276768 |  0.63595027 |
|  1105 |        100 |          0 |      -  |          -  |          -  |
|  1106 |        100 |          1 |       5 |          -  |          -  |
|  1107 |        100 |          2 |      -  |  0.34604770 |  0.79372013 |
|  1108 |        100 |          3 |       5 |  0.06344638 |  0.64510202 |
|  1109 |        100 |          0 |      -  |          -  |          -  |
|  1110 |        100 |          1 |       6 |          -  |          -  |
|  1111 |        100 |          2 |      -  |  0.33071503 |  0.87593293 |
|  1112 |        100 |          3 |       0 |  0.07181057 |  0.48750466 |
|  1113 |        100 |          0 |      -  |          -  |          -  |
|  1114 |        100 |          1 |       0 |          -  |          -  |
|  1115 |        100 |          2 |      -  |  0.55860120 |  0.70100111 |
|  1116 |        100 |          3 |      11 |  0.47004718 |  0.84802979 |
|  1117 |        100 |          0 |      -  |          -  |          -  |
|  1118 |        100 |          1 |       5 |          -  |          -  |
|  1119 |        100 |          2 |      -  |  0.51381844 |  0.81179273 |
|  1120 |        100 |          3 |       2 |  0.35993019 |  0.52182561 |
|  1121 |        100 |          0 |      -  |          -  |          -  |
|  1122 |        100 |          1 |       0 |          -  |          -  |
|  1123 |        100 |          2 |      -  |  0.57287300 |  0.69628954 |
|  1124 |        100 |          3 |       5 |  0.52904725 |  0.63497204 |
|  1125 |        100 |          0 |      -  |          -  |          -  |
|  1126 |        100 |          1 |       2 |          -  |          -  |
|  1127 |        100 |          2 |      -  |  0.06339495 |  0.39421889 |
|  1128 |        100 |          3 |      11 |  0.03376936 |  0.94991171 |
|  1129 |        100 |          0 |      -  |          -  |          -  |
|  1130 |        100 |          1 |       0 |          -  |          -  |
|  1131 |        100 |          2 |      -  |  0.58337611 |  0.71555823 |
|  1132 |        100 |          3 |       5 |  0.19760612 |  0.44731843 |
|  1133 |        100 |          0 |      -  |          -  |          -  |
|  1134 |        100 |          1 |       0 |          -  |          -  |
|  1135 |        100 |          2 |      -  |  0.33362445 |  0.53362060 |
|  1136 |        100 |          3 |       0 |  0.07317400 |  0.49359173 |
|  1137 |        100 |          0 |      -  |          -  |          -  |
|  1138 |        100 |          1 |       5 |          -  |          -  |
|  1139 |        100 |          2 |      -  |  0.56592566 |  0.95589590 |
|  1140 |        100 |          3 |       5 |  0.08363881 |  0.70724148 |
|  1141 |        100 |          0 |      -  |          -  |          -  |
|  1142 |        100 |          1 |       2 |          -  |          -  |
|  1143 |        100 |          2 |      -  |  0.13050002 |  0.98288137 |
|  1144 |        100 |          3 |       5 |  0.04515086 |  0.96465343 |
|  1145 |        100 |          0 |      -  |          -  |          -  |
|  1146 |        100 |          1 |       2 |          -  |          -  |
|  1147 |        100 |          2 |      -  |  0.54549325 |  0.60669678 |
|  1148 |        100 |          3 |       5 |  0.81718701 |  0.96506989 |
|  1149 |        100 |          0 |      -  |          -  |          -  |
|  1150 |        100 |          1 |      11 |          -  |          -  |
|  1151 |        100 |          2 |      -  |  0.85825056 |  0.97499520 |
|  1152 |        100 |          3 |       0 |  0.46875834 |  0.91340035 |
|  1153 |        100 |          0 |      -  |          -  |          -  |
|  1154 |        100 |          1 |       5 |          -  |          -  |
|  1155 |        100 |          2 |      -  |  0.57974464 |  0.83906257 |
|  1156 |        100 |          3 |       0 |  0.33642596 |  0.54044086 |
|  1157 |        100 |          0 |      -  |          -  |          -  |
|  1158 |        100 |          1 |       6 |          -  |          -  |
|  1159 |        100 |          2 |      -  |  0.91960943 |  0.96255982 |
|  1160 |        100 |          3 |       5 |  0.19884451 |  0.50211829 |
|  1161 |        100 |          0 |      -  |          -  |          -  |
|  1162 |        100 |          1 |       7 |          -  |          -  |
|  1163 |        100 |          2 |      -  |  0.27373996 |  0.33501309 |
|  1164 |        100 |          0 |      -  |          -  |          -  |
|  1165 |        100 |          1 |      38 |          -  |          -  |
|  1166 |        100 |          2 |      -  |  0.19768982 |  0.27065909 |
|  1167 |        100 |          3 |      11 |  0.00918003 |  0.37212348 |
|  1168 |        100 |          0 |      -  |          -  |          -  |
|  1169 |        100 |          1 |       5 |          -  |          -  |
|  1170 |        100 |          2 |      -  |  0.40208793 |  0.48609179 |
|  1171 |        100 |          3 |       5 |  0.04751571 |  0.96744382 |
|  1172 |        100 |          0 |      -  |          -  |          -  |
|  1173 |        100 |          1 |       5 |          -  |          -  |
|  1174 |        100 |          2 |      -  |  0.08335443 |  0.97812849 |
|  1175 |        100 |          3 |       5 |  0.52289766 |  0.62462419 |
|  1176 |        100 |          0 |      -  |          -  |          -  |
|  1177 |        100 |          1 |       5 |          -  |          -  |
|  1178 |        100 |          2 |      -  |  0.20125978 |  0.93910605 |
|  1179 |        100 |          3 |       5 |  0.06143349 |  0.77017254 |
|  1180 |        100 |          0 |      -  |          -  |          -  |
|  1181 |        100 |          1 |       5 |          -  |          -  |
|  1182 |        100 |          2 |      -  |  0.19910166 |  0.59406781 |
|  1183 |        100 |          3 |       2 |  0.74953336 |  0.83036053 |
|  1184 |        100 |          0 |      -  |          -  |          -  |
|  1185 |        100 |          1 |       5 |          -  |          -  |
|  1186 |        100 |          2 |      -  |  0.97678518 |  0.98636860 |
|  1187 |        100 |          3 |       5 |  0.67742527 |  0.79559886 |
|  1188 |        100 |          0 |      -  |          -  |          -  |
|  1189 |        100 |          1 |       5 |          -  |          -  |
|  1190 |        100 |          2 |      -  |  0.19222496 |  0.75305188 |
|  1191 |        100 |          3 |      16 |  0.01630885 |  0.66613454 |
|  1192 |        100 |          0 |      -  |          -  |          -  |
|  1193 |        100 |          1 |       5 |          -  |          -  |
|  1194 |        100 |          2 |      -  |  0.08197586 |  0.37689856 |
|  1195 |        100 |          3 |       2 |  0.28684491 |  0.45642182 |
|  1196 |        100 |          0 |      -  |          -  |          -  |
|  1197 |        100 |          1 |       0 |          -  |          -  |
|  1198 |        100 |          2 |      -  |  0.59392363 |  0.96814167 |
|  1199 |        100 |          3 |       7 |  0.19144945 |  0.28835055 |
|  1200 |        100 |          0 |      -  |          -  |          -  |
|  1201 |        100 |          1 |       2 |          -  |          -  |
|  1202 |        100 |          2 |      -  |  0.17286754 |  0.58700758 |
|  1203 |        100 |          3 |       5 |  0.02509759 |  0.67796177 |
|  1204 |        100 |          0 |      -  |          -  |          -  |
|  1205 |        100 |          1 |       9 |          -  |          -  |
|  1206 |        100 |          2 |      -  |  0.10507266 |  0.49440455 |
|  1207 |        100 |          3 |       5 |  0.06055814 |  0.30285728 |
|  1208 |        100 |          0 |      -  |          -  |          -  |
|  1209 |        100 |          1 |      11 |          -  |          -  |
|  1210 |        100 |          2 |      -  |  0.70918071 |  0.77940601 |
|  1211 |        100 |          3 |       5 |  0.31818086 |  0.71140945 |
|  1212 |        100 |          0 |      -  |          -  |          -  |
|  1213 |        100 |          1 |       5 |          -  |          -  |
|  1214 |        100 |          2 |      -  |  0.40220994 |  0.66406721 |
|  1215 |        100 |          3 |       2 |  0.04209320 |  0.71120071 |
|  1216 |        100 |          0 |      -  |          -  |          -  |
|  1217 |        100 |          1 |      11 |          -  |          -  |
|  1218 |        100 |          2 |      -  |  0.38753885 |  0.39473927 |
|  1219 |        100 |          3 |       5 |  0.47437447 |  0.80229604 |
|  1220 |        100 |          0 |      -  |          -  |          -  |
|  1221 |        100 |          1 |       6 |          -  |          -  |
|  1222 |        100 |          2 |      -  |  0.31729743 |  0.81244320 |
|  1223 |        100 |          3 |       0 |  0.77889270 |  0.80333781 |
|  1224 |        100 |          0 |      -  |          -  |          -  |
|  1225 |        100 |          1 |       7 |          -  |          -  |
|  1226 |        100 |          2 |      -  |  0.75155228 |  0.80877137 |
|  1227 |        100 |          3 |       5 |  0.63804686 |  0.80640352 |
|  1228 |        100 |          0 |      -  |          -  |          -  |
|  1229 |        100 |          1 |       5 |          -  |          -  |
|  1230 |        100 |          2 |      -  |  0.42373556 |  0.44178200 |
|  1231 |        100 |          3 |       4 |  0.05036158 |  0.73097962 |
|  1232 |        100 |          0 |      -  |          -  |          -  |
|  1233 |        100 |          1 |       0 |          -  |          -  |
|  1234 |        100 |          2 |      -  |  0.27284142 |  0.73341709 |
|  1235 |        100 |          3 |       5 |  0.32943428 |  0.62466151 |
|  1236 |        100 |          0 |      -  |          -  |          -  |
|  1237 |        100 |          1 |       0 |          -  |          -  |
|  1238 |        100 |          2 |      -  |  0.04942977 |  0.82416761 |
|  1239 |        100 |          3 |       0 |  0.36029223 |  0.43354285 |
|  1240 |        100 |          0 |      -  |          -  |          -  |
|  1241 |        100 |          1 |       5 |          -  |          -  |
|  1242 |        100 |          2 |      -  |  0.24078241 |  0.80714476 |
|  1243 |        100 |          3 |       5 |  0.93714964 |  0.95472509 |
|  1244 |        100 |          0 |      -  |          -  |          -  |
|  1245 |        100 |          1 |       0 |          -  |          -  |
|  1246 |        100 |          2 |      -  |  0.64770085 |  0.94673407 |
|  1247 |        100 |          3 |      34 |  0.21766543 |  0.81787884 |
|  1248 |        100 |          0 |      -  |          -  |          -  |
|  1249 |        100 |          1 |       5 |          -  |          -  |
|  1250 |        100 |          2 |      -  |  0.14025992 |  0.52234703 |
|  1251 |        100 |          3 |       0 |  0.09067384 |  0.91400343 |
|  1252 |        100 |          0 |      -  |          -  |          -  |
|  1253 |        100 |          1 |       0 |          -  |          -  |
|  1254 |        100 |          2 |      -  |  0.33664176 |  0.91517121 |
|  1255 |        100 |          3 |       5 |  0.67783070 |  0.85009718 |
|  1256 |        100 |          0 |      -  |          -  |          -  |
|  1257 |        100 |          1 |       5 |          -  |          -  |
|  1258 |        100 |          2 |      -  |  0.24703285 |  0.91146511 |
|  1259 |        100 |          3 |       5 |  0.10854177 |  0.16174521 |
|  1260 |        100 |          0 |      -  |          -  |          -  |
|  1261 |        100 |          1 |       2 |          -  |          -  |
|  1262 |        100 |          2 |      -  |  0.46669000 |  0.56509775 |
|  1263 |        100 |          3 |       5 |  0.46767223 |  0.74477339 |
|  1264 |        100 |          0 |      -  |          -  |          -  |
|  1265 |        100 |          1 |       4 |          -  |          -  |
|  1266 |        100 |          2 |      -  |  0.17115819 |  0.20450197 |
|  1267 |        100 |          3 |       2 |  0.20552355 |  0.97949493 |
|  1268 |        100 |          0 |      -  |          -  |          -  |
|  1269 |        100 |          1 |       5 |          -  |          -  |
|  1270 |        100 |          2 |      -  |  0.73884869 |  0.79064226 |
|  1271 |        100 |          3 |       0 |  0.18846036 |  0.77125055 |
|  1272 |        100 |          0 |      -  |          -  |          -  |
|  1273 |        100 |          1 |      16 |          -  |          -  |
|  1274 |        100 |          2 |      -  |  0.34658822 |  0.63105923 |
|  1275 |        100 |          3 |       0 |  0.09529260 |  0.32739821 |
|  1276 |        100 |          0 |      -  |          -  |          -  |
|  1277 |        100 |          1 |       5 |          -  |          -  |
|  1278 |        100 |          2 |      -  |  0.01729714 |  0.34182021 |
|  1279 |        100 |          3 |       5 |  0.07273532 |  0.33466417 |
|  1280 |        100 |          0 |      -  |          -  |          -  |
|  1281 |        100 |          1 |       7 |          -  |          -  |
|  1282 |        100 |          2 |      -  |  0.04659296 |  0.75720674 |
|  1283 |        100 |          3 |       5 |  0.25766811 |  0.92348194 |
|  1284 |        100 |          0 |      -  |          -  |          -  |
|  1285 |        100 |          1 |       5 |          -  |          -  |
|  1286 |        100 |          2 |      -  |  0.00073013 |  0.68020362 |
|  1287 |        100 |          3 |       5 |  0.61369050 |  0.75240141 |
|  1288 |        100 |          0 |      -  |          -  |          -  |
|  1289 |        100 |          1 |       5 |          -  |          -  |
|  1290 |        100 |          2 |      -  |  0.16585569 |  0.72361588 |
|  1291 |        100 |          3 |       2 |  0.10792762 |  0.56324017 |
|  1292 |        100 |          0 |      -  |          -  |          -  |
|  1293 |        100 |          1 |       5 |          -  |          -  |
|  1294 |        100 |          2 |      -  |  0.25830746 |  0.40043706 |
